"site","date","Freq","type","visits"
"grande-rivoire",2023-09-23,1,"specific",43
"grotte16",2023-09-23,2,"specific",67
"portal",2023-09-23,6,"portal",1640
"it",2023-09-23,2,"generic",221
"kieler1",2023-09-23,1,"specific",34
"le-flageolet",2023-09-23,1,"specific",34
"les-jambes",2023-09-23,1,"specific",45
"madjedbebe",2023-09-23,1,"specific",16
"marathousa1a",2023-09-23,1,"specific",23
"marathousa1b",2023-09-23,1,"specific",26
"mas-vignoles-x",2023-09-23,1,"specific",38
"mask",2023-09-23,1,"specific",49
"mnk-skull-t3",2023-09-23,1,"specific",12
"moulin-neuf",2023-09-23,1,"specific",22
"petit-paulmy",2023-09-23,1,"specific",47
"pt",2023-09-23,1,"generic",182
"ro",2023-09-23,1,"generic",15
"roc-de-marcamps1",2023-09-23,1,"specific",33
"roc-de-marcamps2",2023-09-23,1,"specific",28
"roche-a-pierrot",2023-09-23,1,"specific",40
"roquemissou",2023-09-23,1,"specific",41
"shuidonggou2",2023-09-23,1,"specific",122
"tai",2023-09-23,2,"specific",228
"teseticeX08",2023-09-23,1,"specific",45
"tute-du-pelerin",2023-09-23,1,"specific",69
"altenerding",2023-09-24,4,"specific",149
"amalda",2023-09-24,1,"specific",130
"barmose",2023-09-24,1,"specific",27
"bastos",2023-09-24,1,"specific",58
"bilzingsleben",2023-09-24,1,"specific",75
"bout-des-vergnes",2023-09-24,1,"specific",22
"cassenade",2023-09-24,1,"specific",69
"chez-thuilet",2023-09-24,1,"specific",42
"combe-cullier",2023-09-24,1,"specific",41
"de",2023-09-24,1,"generic",77
"en",2023-09-24,5,"generic",994
"erb-tanks",2023-09-24,1,"specific",57
"es",2023-09-24,2,"generic",32
"fr",2023-09-24,2,"generic",479
"grotte16",2023-09-24,1,"specific",68
"portal",2023-09-24,1,"portal",1641
"it",2023-09-24,2,"generic",223
"les-jambes",2023-09-24,1,"specific",46
"marathousa1a",2023-09-24,1,"specific",24
"marathousa1b",2023-09-24,1,"specific",27
"mask",2023-09-24,1,"specific",50
"moulin-neuf",2023-09-24,1,"specific",23
"petit-paulmy",2023-09-24,1,"specific",48
"pt",2023-09-24,1,"generic",183
"ro",2023-09-24,2,"generic",17
"roc-de-marcamps1",2023-09-24,1,"specific",34
"roc-de-marcamps2",2023-09-24,1,"specific",29
"roche-a-pierrot",2023-09-24,1,"specific",41
"roquemissou",2023-09-24,2,"specific",43
"shuidonggou2",2023-09-24,1,"specific",123
"tai",2023-09-24,2,"specific",230
"teseticeX08",2023-09-24,1,"specific",46
"tute-du-pelerin",2023-09-24,1,"specific",70
"altenerding",2023-09-25,3,"specific",152
"bout-des-vergnes",2023-09-25,1,"specific",23
"champ-parel3",2023-09-25,1,"specific",51
"chauzeys",2023-09-25,2,"specific",39
"en",2023-09-25,4,"generic",998
"es",2023-09-25,2,"generic",34
"fr",2023-09-25,2,"generic",481
"grotte16",2023-09-25,3,"specific",71
"portal",2023-09-25,4,"portal",1645
"kieler1",2023-09-25,1,"specific",35
"le-flageolet",2023-09-25,1,"specific",35
"les-jambes",2023-09-25,1,"specific",47
"marathousa1b",2023-09-25,1,"specific",28
"mas-vignoles-x",2023-09-25,1,"specific",39
"pt",2023-09-25,1,"generic",184
"roc-de-marcamps2",2023-09-25,1,"specific",30
"shuidonggou2",2023-09-25,1,"specific",124
"teseticeX08",2023-09-25,1,"specific",47
"tute-du-pelerin",2023-09-25,1,"specific",71
"altenerding",2023-09-26,2,"specific",154
"amalda",2023-09-26,1,"specific",131
"anse-a-henry",2023-09-26,1,"specific",67
"bilzingsleben",2023-09-26,1,"specific",76
"champ-parel3",2023-09-26,1,"specific",52
"chauzeys",2023-09-26,2,"specific",41
"combe-cullier",2023-09-26,1,"specific",42
"de",2023-09-26,1,"generic",78
"en",2023-09-26,5,"generic",1003
"erb-tanks",2023-09-26,2,"specific",59
"es",2023-09-26,1,"generic",35
"fr",2023-09-26,4,"generic",485
"grande-rivoire",2023-09-26,1,"specific",44
"grotte16",2023-09-26,1,"specific",72
"portal",2023-09-26,7,"portal",1652
"it",2023-09-26,2,"generic",225
"marathousa1a",2023-09-26,1,"specific",25
"mask",2023-09-26,1,"specific",51
"mnk-skull-t3",2023-09-26,1,"specific",13
"poeymau",2023-09-26,1,"specific",109
"pt",2023-09-26,1,"generic",185
"ro",2023-09-26,2,"generic",19
"roche-a-pierrot",2023-09-26,1,"specific",42
"roquemissou",2023-09-26,1,"specific",44
"shuidonggou2",2023-09-26,1,"specific",125
"altenerding",2023-09-27,10,"specific",164
"amalda",2023-09-27,2,"specific",133
"anse-a-henry",2023-09-27,1,"specific",68
"barger-gulch",2023-09-27,1,"specific",109
"bastos",2023-09-27,2,"specific",60
"bilzingsleben",2023-09-27,3,"specific",79
"bout-des-vergnes",2023-09-27,1,"specific",24
"camiac",2023-09-27,2,"specific",8
"cassenade",2023-09-27,2,"specific",71
"champ-parel3",2023-09-27,1,"specific",53
"chauzeys",2023-09-27,3,"specific",44
"chez-thuilet",2023-09-27,2,"specific",44
"combe-greze",2023-09-27,1,"specific",36
"de",2023-09-27,2,"generic",80
"en",2023-09-27,4,"generic",1007
"es",2023-09-27,2,"generic",37
"fr",2023-09-27,1,"generic",486
"grotte16",2023-09-27,1,"specific",73
"portal",2023-09-27,15,"portal",1667
"le-flageolet",2023-09-27,1,"specific",36
"les-jambes",2023-09-27,1,"specific",48
"mask",2023-09-27,1,"specific",52
"mnk-skull-t3",2023-09-27,1,"specific",14
"moulin-neuf",2023-09-27,1,"specific",24
"petit-paulmy",2023-09-27,2,"specific",50
"poeymau",2023-09-27,1,"specific",110
"pt",2023-09-27,3,"generic",188
"ro",2023-09-27,2,"generic",21
"roc-de-marcamps1",2023-09-27,1,"specific",35
"roc-de-marcamps2",2023-09-27,1,"specific",31
"roche-a-pierrot",2023-09-27,1,"specific",43
"shuidonggou2",2023-09-27,1,"specific",126
"tai",2023-09-27,1,"specific",231
"altenerding",2023-09-28,6,"specific",170
"amalda",2023-09-28,1,"specific",134
"anse-a-henry",2023-09-28,1,"specific",69
"bastos",2023-09-28,1,"specific",61
"cassenade",2023-09-28,1,"specific",72
"chauzeys",2023-09-28,7,"specific",51
"chez-thuilet",2023-09-28,1,"specific",45
"en",2023-09-28,2,"generic",1009
"fr",2023-09-28,2,"generic",488
"portal",2023-09-28,8,"portal",1675
"it",2023-09-28,1,"generic",226
"kieler1",2023-09-28,1,"specific",36
"petit-paulmy",2023-09-28,1,"specific",51
"pt",2023-09-28,1,"generic",189
"shuidonggou2",2023-09-28,2,"specific",128
"teseticeX08",2023-09-28,1,"specific",48
"altenerding",2023-09-29,6,"specific",176
"amalda",2023-09-29,1,"specific",135
"barger-gulch",2023-09-29,3,"specific",112
"barmose",2023-09-29,1,"specific",28
"bastos",2023-09-29,1,"specific",62
"bilzingsleben",2023-09-29,1,"specific",80
"bout-des-vergnes",2023-09-29,1,"specific",25
"camiac",2023-09-29,1,"specific",9
"champ-parel3",2023-09-29,1,"specific",54
"chauzeys",2023-09-29,10,"specific",61
"chez-thuilet",2023-09-29,1,"specific",46
"combe-cullier",2023-09-29,1,"specific",43
"de",2023-09-29,2,"generic",82
"en",2023-09-29,3,"generic",1012
"es",2023-09-29,1,"generic",38
"fr",2023-09-29,3,"generic",491
"grotte16",2023-09-29,1,"specific",74
"portal",2023-09-29,18,"portal",1693
"it",2023-09-29,1,"generic",227
"les-jambes",2023-09-29,1,"specific",49
"madjedbebe",2023-09-29,1,"specific",17
"marathousa1a",2023-09-29,1,"specific",26
"marathousa1b",2023-09-29,1,"specific",29
"mas-vignoles-x",2023-09-29,1,"specific",40
"mask",2023-09-29,1,"specific",53
"mnk-skull-t3",2023-09-29,1,"specific",15
"moulin-neuf",2023-09-29,2,"specific",26
"poeymau",2023-09-29,1,"specific",111
"pt",2023-09-29,2,"generic",191
"ro",2023-09-29,2,"generic",23
"roc-de-marcamps1",2023-09-29,1,"specific",36
"roc-de-marcamps2",2023-09-29,1,"specific",32
"roche-a-pierrot",2023-09-29,2,"specific",45
"shuidonggou2",2023-09-29,1,"specific",129
"tai",2023-09-29,1,"specific",232
"teseticeX08",2023-09-29,1,"specific",49
"tute-du-pelerin",2023-09-29,1,"specific",72
"altenerding",2023-09-30,6,"specific",182
"amalda",2023-09-30,1,"specific",136
"barmose",2023-09-30,1,"specific",29
"bastos",2023-09-30,1,"specific",63
"cassenade",2023-09-30,1,"specific",73
"chauzeys",2023-09-30,6,"specific",67
"chez-thuilet",2023-09-30,1,"specific",47
"en",2023-09-30,4,"generic",1016
"fr",2023-09-30,1,"generic",492
"portal",2023-09-30,8,"portal",1701
"it",2023-09-30,1,"generic",228
"kieler1",2023-09-30,1,"specific",37
"les-jambes",2023-09-30,1,"specific",50
"teseticeX08",2023-09-30,1,"specific",50
"tute-du-pelerin",2023-09-30,1,"specific",73
"altenerding",2023-10-01,3,"specific",185
"amalda",2023-10-01,1,"specific",137
"anse-a-henry",2023-10-01,2,"specific",71
"chauzeys",2023-10-01,1,"specific",68
"combe-cullier",2023-10-01,2,"specific",45
"combe-greze",2023-10-01,1,"specific",37
"de",2023-10-01,1,"generic",83
"en",2023-10-01,6,"generic",1022
"erb-tanks",2023-10-01,1,"specific",60
"es",2023-10-01,2,"generic",40
"fr",2023-10-01,2,"generic",494
"grande-rivoire",2023-10-01,2,"specific",46
"grotte16",2023-10-01,2,"specific",76
"portal",2023-10-01,15,"portal",1716
"madjedbebe",2023-10-01,1,"specific",18
"marathousa1a",2023-10-01,2,"specific",28
"marathousa1b",2023-10-01,2,"specific",31
"mas-vignoles-x",2023-10-01,1,"specific",41
"mask",2023-10-01,1,"specific",54
"poeymau",2023-10-01,1,"specific",112
"pt",2023-10-01,1,"generic",192
"ro",2023-10-01,1,"generic",24
"roche-a-pierrot",2023-10-01,1,"specific",46
"shuidonggou2",2023-10-01,2,"specific",131
"tai",2023-10-01,3,"specific",235
"altenerding",2023-10-02,4,"specific",189
"bastos",2023-10-02,1,"specific",64
"chauzeys",2023-10-02,1,"specific",69
"en",2023-10-02,4,"generic",1026
"fontechevade",2023-10-02,1,"specific",11
"fr",2023-10-02,1,"generic",495
"grande-rivoire",2023-10-02,2,"specific",48
"grotte16",2023-10-02,1,"specific",77
"portal",2023-10-02,5,"portal",1721
"it",2023-10-02,1,"generic",229
"les-jambes",2023-10-02,2,"specific",52
"moulin-neuf",2023-10-02,1,"specific",27
"poeymau",2023-10-02,4,"specific",116
"ro",2023-10-02,2,"generic",26
"roquemissou",2023-10-02,1,"specific",45
"shuidonggou2",2023-10-02,1,"specific",132
"tai",2023-10-02,3,"specific",238
"altenerding",2023-10-03,6,"specific",195
"amalda",2023-10-03,1,"specific",138
"anse-a-henry",2023-10-03,1,"specific",72
"barger-gulch",2023-10-03,2,"specific",114
"bastos",2023-10-03,1,"specific",65
"bout-des-vergnes",2023-10-03,1,"specific",26
"camiac",2023-10-03,3,"specific",12
"cassenade",2023-10-03,1,"specific",74
"chauzeys",2023-10-03,2,"specific",71
"combe-greze",2023-10-03,1,"specific",38
"de",2023-10-03,1,"generic",84
"en",2023-10-03,1,"generic",1027
"es",2023-10-03,2,"generic",42
"fontechevade",2023-10-03,2,"specific",13
"fr",2023-10-03,2,"generic",497
"grande-rivoire",2023-10-03,2,"specific",50
"grotte16",2023-10-03,2,"specific",79
"portal",2023-10-03,16,"portal",1737
"les-jambes",2023-10-03,2,"specific",54
"madjedbebe",2023-10-03,1,"specific",19
"mask",2023-10-03,2,"specific",56
"moulin-neuf",2023-10-03,1,"specific",28
"pirro-nord13",2023-10-03,1,"specific",23
"poeymau",2023-10-03,2,"specific",118
"pt",2023-10-03,1,"generic",193
"ro",2023-10-03,1,"generic",27
"shuidonggou2",2023-10-03,1,"specific",133
"tai",2023-10-03,3,"specific",241
"altenerding",2023-10-04,5,"specific",200
"amalda",2023-10-04,2,"specific",140
"anse-a-henry",2023-10-04,3,"specific",75
"barger-gulch",2023-10-04,1,"specific",115
"bastos",2023-10-04,2,"specific",67
"bilzingsleben",2023-10-04,2,"specific",82
"bout-des-vergnes",2023-10-04,1,"specific",27
"cassenade",2023-10-04,3,"specific",77
"champ-parel3",2023-10-04,2,"specific",56
"chauzeys",2023-10-04,3,"specific",74
"chez-thuilet",2023-10-04,1,"specific",48
"combe-cullier",2023-10-04,1,"specific",46
"combe-greze",2023-10-04,1,"specific",39
"en",2023-10-04,7,"generic",1034
"erb-tanks",2023-10-04,1,"specific",61
"es",2023-10-04,1,"generic",43
"fontechevade",2023-10-04,1,"specific",14
"fr",2023-10-04,1,"generic",498
"grande-rivoire",2023-10-04,1,"specific",51
"grotte16",2023-10-04,1,"specific",80
"portal",2023-10-04,14,"portal",1751
"it",2023-10-04,1,"generic",230
"kieler1",2023-10-04,2,"specific",39
"le-flageolet",2023-10-04,1,"specific",37
"les-jambes",2023-10-04,2,"specific",56
"madjedbebe",2023-10-04,1,"specific",20
"marathousa1a",2023-10-04,1,"specific",29
"marathousa1b",2023-10-04,1,"specific",32
"mas-vignoles-x",2023-10-04,1,"specific",42
"mask",2023-10-04,1,"specific",57
"mnk-skull-t3",2023-10-04,1,"specific",16
"moulin-neuf",2023-10-04,1,"specific",29
"petit-paulmy",2023-10-04,2,"specific",53
"ro",2023-10-04,1,"generic",28
"roc-de-marcamps1",2023-10-04,1,"specific",37
"roc-de-marcamps2",2023-10-04,1,"specific",33
"roche-a-pierrot",2023-10-04,2,"specific",48
"roquemissou",2023-10-04,1,"specific",46
"shuidonggou2",2023-10-04,1,"specific",134
"tai",2023-10-04,6,"specific",247
"teseticeX08",2023-10-04,2,"specific",52
"tute-du-pelerin",2023-10-04,2,"specific",75
"altenerding",2023-10-05,6,"specific",206
"amalda",2023-10-05,1,"specific",141
"bastos",2023-10-05,1,"specific",68
"bilzingsleben",2023-10-05,1,"specific",83
"camiac",2023-10-05,2,"specific",14
"cassenade",2023-10-05,1,"specific",78
"chauzeys",2023-10-05,1,"specific",75
"combe-greze",2023-10-05,1,"specific",40
"de",2023-10-05,1,"generic",85
"en",2023-10-05,7,"generic",1041
"erb-tanks",2023-10-05,1,"specific",62
"fontechevade",2023-10-05,2,"specific",16
"fr",2023-10-05,6,"generic",504
"portal",2023-10-05,16,"portal",1767
"it",2023-10-05,2,"generic",232
"marathousa1a",2023-10-05,1,"specific",30
"mas-vignoles-x",2023-10-05,2,"specific",44
"mnk-skull-t3",2023-10-05,1,"specific",17
"moulin-neuf",2023-10-05,1,"specific",30
"pt",2023-10-05,3,"generic",196
"ro",2023-10-05,2,"generic",30
"roche-a-pierrot",2023-10-05,1,"specific",49
"altenerding",2023-10-06,2,"specific",208
"anse-a-henry",2023-10-06,2,"specific",77
"anyskop",2023-10-06,1,"specific",3
"barger-gulch",2023-10-06,1,"specific",116
"barmose",2023-10-06,1,"specific",30
"cassenade",2023-10-06,1,"specific",79
"de",2023-10-06,1,"generic",86
"en",2023-10-06,6,"generic",1047
"fontechevade",2023-10-06,2,"specific",18
"fr",2023-10-06,3,"generic",507
"grotte16",2023-10-06,1,"specific",81
"portal",2023-10-06,13,"portal",1780
"kieler1",2023-10-06,1,"specific",40
"pt",2023-10-06,1,"generic",197
"ro",2023-10-06,1,"generic",31
"shuidonggou2",2023-10-06,1,"specific",135
"tai",2023-10-06,1,"specific",248
"altenerding",2023-10-07,1,"specific",209
"camiac",2023-10-07,1,"specific",15
"chauzeys",2023-10-07,2,"specific",77
"en",2023-10-07,4,"generic",1051
"fontechevade",2023-10-07,1,"specific",19
"fr",2023-10-07,1,"generic",508
"portal",2023-10-07,6,"portal",1786
"it",2023-10-07,1,"generic",233
"roc-de-marcamps2",2023-10-07,2,"specific",35
"tai",2023-10-07,5,"specific",253
"tute-du-pelerin",2023-10-07,1,"specific",76
"altenerding",2023-10-08,2,"specific",211
"barger-gulch",2023-10-08,1,"specific",117
"en",2023-10-08,4,"generic",1055
"fr",2023-10-08,2,"generic",510
"grotte16",2023-10-08,1,"specific",82
"portal",2023-10-08,4,"portal",1790
"kieler1",2023-10-08,1,"specific",41
"le-flageolet",2023-10-08,1,"specific",38
"madjedbebe",2023-10-08,1,"specific",21
"pirro-nord13",2023-10-08,2,"specific",25
"poeymau",2023-10-08,1,"specific",119
"pt",2023-10-08,1,"generic",198
"shuidonggou2",2023-10-08,3,"specific",138
"tai",2023-10-08,6,"specific",259
"altenerding",2023-10-09,3,"specific",214
"anyskop",2023-10-09,2,"specific",5
"barger-gulch",2023-10-09,1,"specific",118
"chauzeys",2023-10-09,1,"specific",78
"de",2023-10-09,1,"generic",87
"en",2023-10-09,11,"generic",1066
"erb-tanks",2023-10-09,1,"specific",63
"es",2023-10-09,1,"generic",44
"fr",2023-10-09,3,"generic",513
"grotte16",2023-10-09,3,"specific",85
"portal",2023-10-09,9,"portal",1799
"it",2023-10-09,3,"generic",236
"kieler1",2023-10-09,1,"specific",42
"le-flageolet",2023-10-09,1,"specific",39
"madjedbebe",2023-10-09,5,"specific",26
"mas-vignoles-x",2023-10-09,1,"specific",45
"pirro-nord13",2023-10-09,1,"specific",26
"poeymau",2023-10-09,1,"specific",120
"pt",2023-10-09,2,"generic",200
"ro",2023-10-09,2,"generic",33
"shuidonggou2",2023-10-09,3,"specific",141
"tai",2023-10-09,5,"specific",264
"tute-du-pelerin",2023-10-09,1,"specific",77
"altenerding",2023-10-10,8,"specific",222
"anse-a-henry",2023-10-10,1,"specific",78
"champ-parel3",2023-10-10,1,"specific",57
"de",2023-10-10,1,"generic",88
"en",2023-10-10,11,"generic",1077
"es",2023-10-10,1,"generic",45
"fontechevade",2023-10-10,1,"specific",20
"fr",2023-10-10,8,"generic",521
"grotte16",2023-10-10,2,"specific",87
"portal",2023-10-10,8,"portal",1807
"it",2023-10-10,1,"generic",237
"kieler1",2023-10-10,1,"specific",43
"les-jambes",2023-10-10,1,"specific",57
"madjedbebe",2023-10-10,1,"specific",27
"pt",2023-10-10,1,"generic",201
"roc-de-marcamps2",2023-10-10,2,"specific",37
"tai",2023-10-10,7,"specific",271
"altenerding",2023-10-11,5,"specific",227
"amalda",2023-10-11,1,"specific",142
"anyskop",2023-10-11,1,"specific",6
"barger-gulch",2023-10-11,1,"specific",119
"barmose",2023-10-11,1,"specific",31
"en",2023-10-11,4,"generic",1081
"fr",2023-10-11,1,"generic",522
"grotte16",2023-10-11,2,"specific",89
"portal",2023-10-11,9,"portal",1816
"it",2023-10-11,1,"generic",238
"pt",2023-10-11,1,"generic",202
"ro",2023-10-11,1,"generic",34
"shuidonggou2",2023-10-11,1,"specific",142
"tai",2023-10-11,1,"specific",272
"altenerding",2023-10-12,3,"specific",230
"amalda",2023-10-12,1,"specific",143
"anyskop",2023-10-12,1,"specific",7
"bilzingsleben",2023-10-12,1,"specific",84
"champ-parel3",2023-10-12,1,"specific",58
"chauzeys",2023-10-12,1,"specific",79
"combe-capelle-a1a2",2023-10-12,1,"specific",23
"en",2023-10-12,2,"generic",1083
"es",2023-10-12,1,"generic",46
"fr",2023-10-12,3,"generic",525
"portal",2023-10-12,12,"portal",1828
"mask",2023-10-12,1,"specific",58
"poeymau",2023-10-12,1,"specific",121
"roc-de-marcamps2",2023-10-12,1,"specific",38
"shuidonggou2",2023-10-12,1,"specific",143
"altenerding",2023-10-13,6,"specific",236
"amalda",2023-10-13,1,"specific",144
"barger-gulch",2023-10-13,2,"specific",121
"bastos",2023-10-13,2,"specific",70
"cassenade",2023-10-13,1,"specific",80
"chauzeys",2023-10-13,4,"specific",83
"en",2023-10-13,4,"generic",1087
"grotte16",2023-10-13,1,"specific",90
"portal",2023-10-13,9,"portal",1837
"it",2023-10-13,1,"generic",239
"kieler1",2023-10-13,1,"specific",44
"marathousa1b",2023-10-13,1,"specific",33
"mask",2023-10-13,2,"specific",60
"pt",2023-10-13,2,"generic",204
"ro",2023-10-13,1,"generic",35
"shuidonggou2",2023-10-13,1,"specific",144
"tai",2023-10-13,1,"specific",273
"altenerding",2023-10-14,1,"specific",237
"chauzeys",2023-10-14,3,"specific",86
"en",2023-10-14,3,"generic",1090
"portal",2023-10-14,3,"portal",1840
"tai",2023-10-14,2,"specific",275
"chauzeys",2023-10-15,2,"specific",88
"portal",2023-10-15,2,"portal",1842
"altenerding",2023-10-16,4,"specific",241
"champ-parel3",2023-10-16,1,"specific",59
"chauzeys",2023-10-16,5,"specific",93
"de",2023-10-16,1,"generic",89
"en",2023-10-16,4,"generic",1094
"fr",2023-10-16,1,"generic",526
"portal",2023-10-16,7,"portal",1849
"mask",2023-10-16,1,"specific",61
"tai",2023-10-16,3,"specific",278
"tute-du-pelerin",2023-10-16,1,"specific",78
"altenerding",2023-10-17,4,"specific",245
"chauzeys",2023-10-17,6,"specific",99
"en",2023-10-17,3,"generic",1097
"erb-tanks",2023-10-17,1,"specific",64
"fr",2023-10-17,1,"generic",527
"portal",2023-10-17,15,"portal",1864
"it",2023-10-17,2,"generic",241
"kieler1",2023-10-17,1,"specific",45
"les-jambes",2023-10-17,1,"specific",58
"pirro-nord13",2023-10-17,1,"specific",27
"poeymau",2023-10-17,1,"specific",122
"tai",2023-10-17,5,"specific",283
"altenerding",2023-10-18,8,"specific",253
"amalda",2023-10-18,1,"specific",145
"anse-a-henry",2023-10-18,1,"specific",79
"barger-gulch",2023-10-18,1,"specific",122
"bastos",2023-10-18,1,"specific",71
"bilzingsleben",2023-10-18,1,"specific",85
"bout-des-vergnes",2023-10-18,1,"specific",28
"camiac",2023-10-18,1,"specific",16
"cassenade",2023-10-18,1,"specific",81
"champ-parel3",2023-10-18,1,"specific",60
"chauzeys",2023-10-18,2,"specific",101
"chez-thuilet",2023-10-18,1,"specific",49
"combe-cullier",2023-10-18,1,"specific",47
"combe-greze",2023-10-18,1,"specific",41
"de",2023-10-18,1,"generic",90
"en",2023-10-18,4,"generic",1101
"erb-tanks",2023-10-18,1,"specific",65
"es",2023-10-18,1,"generic",47
"fontechevade",2023-10-18,1,"specific",21
"fr",2023-10-18,2,"generic",529
"grande-rivoire",2023-10-18,1,"specific",52
"grotte16",2023-10-18,2,"specific",92
"portal",2023-10-18,11,"portal",1875
"it",2023-10-18,1,"generic",242
"kieler1",2023-10-18,1,"specific",46
"le-flageolet",2023-10-18,1,"specific",40
"les-jambes",2023-10-18,1,"specific",59
"madjedbebe",2023-10-18,1,"specific",28
"marathousa1a",2023-10-18,1,"specific",31
"marathousa1b",2023-10-18,1,"specific",34
"mas-vignoles-x",2023-10-18,1,"specific",46
"mask",2023-10-18,1,"specific",62
"mnk-skull-t3",2023-10-18,1,"specific",18
"moulin-neuf",2023-10-18,1,"specific",31
"petit-paulmy",2023-10-18,1,"specific",54
"pirro-nord13",2023-10-18,2,"specific",29
"poeymau",2023-10-18,2,"specific",124
"pt",2023-10-18,1,"generic",205
"ro",2023-10-18,1,"generic",36
"roc-de-marcamps1",2023-10-18,1,"specific",38
"roc-de-marcamps2",2023-10-18,1,"specific",39
"roche-a-pierrot",2023-10-18,1,"specific",50
"roquemissou",2023-10-18,1,"specific",47
"shuidonggou2",2023-10-18,1,"specific",145
"tai",2023-10-18,2,"specific",285
"teseticeX08",2023-10-18,1,"specific",53
"tute-du-pelerin",2023-10-18,2,"specific",80
"altenerding",2023-10-19,5,"specific",258
"bilzingsleben",2023-10-19,1,"specific",86
"chauzeys",2023-10-19,1,"specific",102
"combe-greze",2023-10-19,1,"specific",42
"de",2023-10-19,2,"generic",92
"en",2023-10-19,3,"generic",1104
"fr",2023-10-19,6,"generic",535
"grande-rivoire",2023-10-19,1,"specific",53
"portal",2023-10-19,14,"portal",1889
"kieler1",2023-10-19,1,"specific",47
"pirro-nord13",2023-10-19,1,"specific",30
"poeymau",2023-10-19,1,"specific",125
"pt",2023-10-19,1,"generic",206
"tai",2023-10-19,2,"specific",287
"altenerding",2023-10-20,5,"specific",263
"bastos",2023-10-20,1,"specific",72
"bessinaudes",2023-10-20,1,"specific",17
"chauzeys",2023-10-20,1,"specific",103
"chez-thuilet",2023-10-20,1,"specific",50
"de",2023-10-20,1,"generic",93
"en",2023-10-20,5,"generic",1109
"fr",2023-10-20,1,"generic",536
"portal",2023-10-20,8,"portal",1897
"it",2023-10-20,2,"generic",244
"mas-vignoles-x",2023-10-20,1,"specific",47
"pirro-nord13",2023-10-20,1,"specific",31
"pt",2023-10-20,2,"generic",208
"ro",2023-10-20,1,"generic",37
"shuidonggou2",2023-10-20,2,"specific",147
"altenerding",2023-10-21,1,"specific",264
"barger-gulch",2023-10-21,1,"specific",123
"barmose",2023-10-21,2,"specific",33
"bilzingsleben",2023-10-21,1,"specific",87
"chauzeys",2023-10-21,1,"specific",104
"en",2023-10-21,4,"generic",1113
"fontechevade",2023-10-21,2,"specific",23
"fr",2023-10-21,1,"generic",537
"portal",2023-10-21,9,"portal",1906
"kieler1",2023-10-21,2,"specific",49
"madjedbebe",2023-10-21,1,"specific",29
"mask",2023-10-21,1,"specific",63
"mnk-skull-t3",2023-10-21,1,"specific",19
"pirro-nord13",2023-10-21,1,"specific",32
"roc-de-marcamps2",2023-10-21,2,"specific",41
"roche-a-pierrot",2023-10-21,1,"specific",51
"tai",2023-10-21,2,"specific",289
"altenerding",2023-10-22,2,"specific",266
"amalda",2023-10-22,1,"specific",146
"barger-gulch",2023-10-22,3,"specific",126
"bilzingsleben",2023-10-22,1,"specific",88
"combe-capelle-a1a2",2023-10-22,1,"specific",24
"combe-greze",2023-10-22,1,"specific",43
"de",2023-10-22,2,"generic",95
"en",2023-10-22,9,"generic",1122
"es",2023-10-22,1,"generic",48
"fontechevade",2023-10-22,1,"specific",24
"fr",2023-10-22,2,"generic",539
"grande-rivoire",2023-10-22,1,"specific",54
"grotte16",2023-10-22,1,"specific",93
"portal",2023-10-22,10,"portal",1916
"it",2023-10-22,3,"generic",247
"le-flageolet",2023-10-22,2,"specific",42
"pirro-nord13",2023-10-22,3,"specific",35
"poeymau",2023-10-22,2,"specific",127
"pt",2023-10-22,2,"generic",210
"ro",2023-10-22,2,"generic",39
"shuidonggou2",2023-10-22,1,"specific",148
"tai",2023-10-22,1,"specific",290
"teseticeX08",2023-10-22,1,"specific",54
"tute-du-pelerin",2023-10-22,2,"specific",82
"altenerding",2023-10-23,1,"specific",267
"amalda",2023-10-23,1,"specific",147
"barmose",2023-10-23,1,"specific",34
"bastos",2023-10-23,1,"specific",73
"bilzingsleben",2023-10-23,1,"specific",89
"champ-parel3",2023-10-23,1,"specific",61
"combe-capelle-a1a2",2023-10-23,1,"specific",25
"combe-greze",2023-10-23,1,"specific",44
"de",2023-10-23,2,"generic",97
"en",2023-10-23,7,"generic",1129
"es",2023-10-23,2,"generic",50
"fr",2023-10-23,4,"generic",543
"grotte16",2023-10-23,2,"specific",95
"portal",2023-10-23,14,"portal",1930
"it",2023-10-23,2,"generic",249
"kieler1",2023-10-23,5,"specific",54
"mnk-skull-t3",2023-10-23,1,"specific",20
"petit-paulmy",2023-10-23,1,"specific",55
"poeymau",2023-10-23,3,"specific",130
"pt",2023-10-23,2,"generic",212
"ro",2023-10-23,2,"generic",41
"shuidonggou2",2023-10-23,2,"specific",150
"tai",2023-10-23,2,"specific",292
"teseticeX08",2023-10-23,3,"specific",57
"altenerding",2023-10-24,5,"specific",272
"amalda",2023-10-24,1,"specific",148
"bastos",2023-10-24,1,"specific",74
"camiac",2023-10-24,1,"specific",17
"cassenade",2023-10-24,1,"specific",82
"chauzeys",2023-10-24,3,"specific",107
"combe-capelle-a1a2",2023-10-24,1,"specific",26
"de",2023-10-24,5,"generic",102
"en",2023-10-24,6,"generic",1135
"es",2023-10-24,2,"generic",52
"fr",2023-10-24,3,"generic",546
"grande-rivoire",2023-10-24,1,"specific",55
"grotte16",2023-10-24,2,"specific",97
"portal",2023-10-24,17,"portal",1947
