"id","lat","lon","altitude","location.type","grid.orientation","site.name","site.wikidata","n.objects","n.refits","n.objects.in.refitting.set","n.sites","site.continent","site.country","site.location","site.location.pid","period1","period1.uri","period2","period2.uri","period3","period3.uri","archeoviz.url","hal","hdl","excavator1","excavator1.orcid","excavator1.viaf","excavator2","excavator2.orcid","excavator2.viaf","excavator3","excavator3.orcid","excavator3.viaf","excavation.date","data.creator1","data.creator1.orcid","data.creator1.viaf","data.creator2","data.creator2.orcid","data.creator2.viaf","data.creator3","data.creator3.orcid","data.creator3.viaf","data.editor1","data.editor1.orcid","data.editor1.viaf","workflow.identifier.value","workflow.identifier.type","data.publication","data.identifier.value","data.identifier.type","data.license","internal.linking","archeoviz.pub.date","object_type1","object_type2","object_type3","object_type4","object_type5","object_type6","object_type7","object_type8","period.keywords"
20,44.167099,3.181666,797,"exact",0,"Combe-Grèze","",105,0,0,0,"Europe","France","La Cresse","https://www.geonames.org/6456716/la-cresse.html","Early Neolithic","https://ark.frantiq.fr/ark:/26678/pcrtFRtEh1AndU","","","","","https://analytics.huma-num.fr/archeoviz/combe-greze","hal-04049624","10670/1.chxjjo","Elsa Defranould","0000-0003-3135-9107","30145243836574441502","","","","","","","2014","Elsa Defranould","0000-0003-3135-9107","30145243836574441502","","","","","","","–","","","–","–","–","–","–","–","FALSE","20230203","pottery","millstone","","","","","","","early neolithic neolithic holocene quaternary "
19,44.96278,0.61148,168,"exact",-17,"Cassenade","",2466,26,76,0,"Europe","France","Saint-Martin-des-Combes","https://www.geonames.org/6429584/saint-martin-des-combes.html","Châtelperronian","https://ark.frantiq.fr/ark:/26678/pcrt9U8BH9pVRu","","","","","https://analytics.huma-num.fr/archeoviz/cassenade","hal-04049620","10670/1.jg0ozy","Emmanuel Discamps","0000-0002-2464-0761","281304531","","","","","","","2013–2014","Emmanuel Discamps","0000-0002-2464-0761","281304531","","","","","","","–","","","–","–","2023","10.34847/nkl.e30aie2u","doi","CC-BY-4.0","FALSE","20230127","animal bone","coproliths","","","","","","","châtelperronian upper paleolithic paleolithic pleistocene quaternary chatelperronian upper palaeolithic palaeolithic "
18,-22.1019131099271,-48.2740097442059,641,"exact",NA,"Bastos","",1799,0,0,0,"America","Brazil","Dourado","https://www.geonames.org/6322217/dourado.html","Paleolithic","https://ark.frantiq.fr/ark:/26678/pcrtFS9v4PxyYL","","","","","https://analytics.huma-num.fr/archeoviz/bastos","hal-04049618","10670/1.72olw2","Astolfo Araujo","0000-0002-0349-1226","170952743","","","","","","","2014–2022","Astolfo Araujo","0000-0002-0349-1226","170952743","et al.","","","","","","–","","","–","–","–","–","–","–","FALSE","20230125","lithic industry","","","","","","","","paleolithic pleistocene quaternary palaeolithic "
17,46.9373,0.7401,56,"exact",0,"Le Petit Paulmy","",28361,12,46,0,"Europe","France","Abilly","https://www.geonames.org/6616632/abilly.html","Late Neolithic","https://ark.frantiq.fr/ark:/26678/pcrtkWTHVxnZWN","","","","","https://analytics.huma-num.fr/archeoviz/petit-paulmy","hal-04049616","10670/1.6omear","Jean-Claude Marquet","0000-0001-6250-4720","61670587","Laure-Anne Millet-Richard","","7560851","","","","1981–1991","Jean-Claude Marquet","0000-0001-6250-4720","61670587","et al.","","","","","","–","","","–","–","–","–","–","–","FALSE","20230124","pottery","lithic industry","lithic core","","","","","","late neolithic neolithic holocene quaternary "
16,-22.3018,15.043,702,"fuzzy",NA,"Erb Tanks","",2828,0,0,0,"Africa","Namibia","Namibia","https://www.geonames.org/3355338/republic-of-namibia.html","Middle Stone Age","https://ark.frantiq.fr/ark:/26678/crtFouiYvPcGm","","","","","https://analytics.huma-num.fr/archeoviz/erb-tanks","hal-04049610","10670/1.8g29z6","Grant S. McCall","0000-0003-3717-2407","22249588","et al.","","","","","","2009, 2012","Theodor Marks","","","","","","","","","Sébastien Plutniak","0000-0002-6674-3806","35153833224064331876","10.5281/zenodo.10862998","doi","2015","10.6067/xcv85140j7","doi","–","TRUE","20230118","shell","pottery","lithic industry","lithic core","animal bone","eggshell","","","middle stone age paleolithic pleistocene quaternary MSA palaeolithic "
15,68.136,-151.7835,670,"fuzzy",NA,"Mask site","",494,0,0,0,"America","United States","Anaktuvuk","https://www.geonames.org/7117612/city-of-anaktuvuk-pass.html","20th century","https://ark.frantiq.fr/ark:/26678/pcrt59R77d1H15","","","","","https://analytics.huma-num.fr/archeoviz/mask","hal-04049609","10670/1.94yggz","Lewis Binford","","84966782","","","","","","","1978","David L. Carlson","0000-0001-8641-3874","40876197","Georg Roth","","10148120456694790747","","","","–","","","10.5281/zenodo.10575540","doi","2021","https://CRAN.R-project.org/package=archdata","url","GPL-3","FALSE","20230116","metal objects","animal bone","metal objects","","","","","","20th century historical holocene quaternary "
14,51.2722,11.05971,167,"exact",-41,"Bilzingsleben","Q1474192",2439,61,160,0,"Europe","Germany","Bilzingsleben","https://www.geonames.org/6550118/bilzingsleben.html","Lower Paleolithic","https://ark.frantiq.fr/ark:/26678/pcrtVgXMuQrnxx","","","","","https://analytics.huma-num.fr/archeoviz/bilzingsleben","hal-04049587","10670/1.sxamky","Dietrich Mania","","263994715","","","","","","","1969–1993","Jürgen Vollbrecht","","2624841","","","","","","","Sébastien Plutniak","0000-0002-6674-3806","35153833224064331876","10.5281/zenodo.8003444","doi","2000","10.11141/ia.8.1","doi","CC-BY-3.0","TRUE","20230114","antler","","","","","","","","lower paleolithic paleolithic pleistocene quaternary lower palaeolithic palaeolithic "
13,43.80734,4.36303,26,"exact",0,"Mas de Vignoles X","",8976,0,0,0,"Europe","France","Nîmes","https://www.geonames.org/6431349/nimes.html","Early Neolithic","https://ark.frantiq.fr/ark:/26678/pcrtFRtEh1AndU","","","","","https://analytics.huma-num.fr/archeoviz/mas-vignoles-x","hal-04049581","10670/1.4sastz","Thomas Perrin","0000-0002-8788-3437","61723290","","","","","","","2004–2005","Thomas Perrin","0000-0002-8788-3437","61723290","","","","","","","–","","","–","–","–","–","–","–","FALSE","20230119","pottery","millstone","lithic industry","animal bone","","","","","early neolithic neolithic holocene quaternary "
12,45.04085,-0.5043,9,"exact",-90,"Roc de Marcamps 1","",6933,0,0,0,"Europe","France","Prignac-et-Marcamps","https://www.geonames.org/6616561/prignac-et-marcamps.html","Magdalenian","https://ark.frantiq.fr/ark:/26678/pcrt3kzJ9EkRhW","","","","","https://analytics.huma-num.fr/archeoviz/roc-de-marcamps1","hal-03984151","10670/1.p0ud3l","Michel Lenoir","","41878491","","","","","","","1979–1988","Anthony Sécher","0000-0002-3287-2845","89168168401448041062","","","","","","","–","","","–","–","–","–","–","–","FALSE","20230113","shell","pottery","lithic industry","animal bone","antler","","","","magdalenian upper paleolithic paleolithic pleistocene quaternary  upper palaeolithic palaeolithic"
11,45.040546,-0.504468,9,"exact",-90,"Roc de Marcamps 2","",7495,0,0,0,"Europe","France","Prignac-et-Marcamps","https://www.geonames.org/6616561/prignac-et-marcamps.html","Magdalenian","https://ark.frantiq.fr/ark:/26678/pcrt3kzJ9EkRhW","","","","","https://analytics.huma-num.fr/archeoviz/roc-de-marcamps2","hal-03984145","10670/1.jxb2ks","Michel Lenoir","","41878491","","","","","","","1979–1988","Anthony Sécher","0000-0002-3287-2845","89168168401448041062","","","","","","","–","","","–","–","–","–","–","–","FALSE","20230113","shell","pottery","lithic industry","animal bone","","","","","magdalenian upper paleolithic paleolithic pleistocene quaternary  upper palaeolithic palaeolithic"
